epoch,loss,lr,output_loss,output_mean_absolute_error,output_mean_error,val_loss,val_output_loss,val_output_mean_absolute_error,val_output_mean_error,val_variance_output_loss,variance_output_loss
0,0.2695920755480232,0.0005,0.2695797025421244,0.7270860523877744,0.015600019630914676,0.023084830078813765,0.023072146862331364,0.5842699176735349,-0.019770020101633336,0.023072146862331364,0.2695797025421244
1,-0.009860087609410699,0.0005,-0.009872969513212492,0.5359044926252193,0.007655285170558327,-0.020333110665281613,-0.02034613997158077,0.4879109511772792,-0.06392548471275303,-0.02034613997158077,-0.009872969513212492
2,-0.04440082129387988,0.0005,-0.044413949206783744,0.49654313297328834,-0.00025043128515610437,-0.07549617298516548,-0.07550943042669031,0.46935584644476575,-0.027289890684187412,-0.07550943042669031,-0.044413949206783744
3,-0.06659801175377282,0.0005,-0.06661138922801453,0.45259756224597997,-0.008897460712688769,-0.035495169176202684,-0.03550864973415931,0.45168743365340763,-0.06056466026024686,-0.03550864973415931,-0.06661138922801453
4,-0.07725300316344723,0.0005,-0.07726662466581354,0.43275810911983786,-0.006536160428411589,-0.12986113793320125,-0.12987487390637398,0.4010777523120244,-0.001736684443636073,-0.12987487390637398,-0.07726662466581354
5,-0.11350270554013439,0.0005,-0.11351653092546378,0.4083789472808381,0.0012412886051628403,-0.11613265856997007,-0.11614656489756373,0.3935177293088701,-0.009798665013578203,-0.11614656489756373,-0.11351653092546378
6,-0.11543175532130705,0.0005,-0.11544574987879413,0.3985813342168659,-0.0020532168721233658,-0.14516783526374233,-0.14518193010654715,0.3930851270755132,-0.020811449425915878,-0.14518193010654715,-0.11544574987879413
7,-0.1308535273412722,0.0005,-0.13086772513224515,0.38773853461185614,0.010312999852425503,-0.13003601961665684,-0.130050300517016,0.3917686724000507,-0.03813908471622401,-0.130050300517016,-0.13086772513224515
8,-0.13217826813116423,0.0005,-0.13219263252919305,0.3860623932884125,-0.0022650932123561107,-0.1478271387103531,-0.14784159547545844,0.37052708864212036,0.0056300256918701864,-0.14784159547545844,-0.13219263252919305
9,-0.13647108352828483,0.0005,-0.1364856239040187,0.3800253041847023,0.002894753227735351,-0.12900939169857237,-0.12902401263515154,0.38623571230305564,-0.04413428336071471,-0.12902401263515154,-0.1364856239040187
