# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Thu May 13 21:36:08 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00015547 -2.00000 9.69897 0.0936335474 1.1156111956    0.094 -3.059  3.5119  5.467    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.64e-17      0.00 7.495e-01 2.504e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 12.417 18.317 16.090 14.187 12.854 11.635 10.525 10.251 10.180
0.00015547 -2.00000 9.69897 0.1001684964 1.1725124121    0.100 -2.856  3.5402  5.407    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.1e-16      0.00 7.488e-01 2.510e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 11.911 16.723 15.020 13.313 12.153 11.161 10.118 9.729 9.615
0.00015547 -2.00000 9.69897 0.1035686582 1.2002434731    0.103 -2.757  3.5541  5.377    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.4e-16      0.00 7.484e-01 2.514e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 11.661 15.994 14.504 12.911 11.820 10.922 9.918 9.485 9.358
0.00015547 -2.00000 9.69897 0.1234388798 1.3415665627    0.123 -2.482  3.5820  5.290    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.67e-16      0.00 7.471e-01 2.528e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 10.975 14.454 13.331 11.961 11.004 10.249 9.328 8.828 8.679
0.00015547 -2.00000 9.69897 0.1433091164 1.4560320377    0.143 -2.310  3.5955  5.238    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.91e-16      0.00 7.461e-01 2.538e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 10.546 13.668 12.696 11.423 10.533 9.823 8.942 8.423 8.263
0.00015547 -2.00000 9.69897 0.1631793380 1.5515257120    0.163 -2.179  3.6043  5.198    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.2e-16      0.00 7.453e-01 2.545e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 10.217 13.128 12.244 11.027 10.179 9.495 8.641 8.114 7.948
0.00015547 -2.00000 9.69897 0.2029198259 1.7036917210    0.203 -1.970  3.6162  5.132    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.12e-16      0.00 7.444e-01 2.554e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.636e-04 9.695 12.337 11.566 10.419 9.625 8.973 8.155 7.623 7.454
0.00015547 -2.00000 9.69897 0.2525954247 1.8468697071    0.252 -1.769  3.6269  5.069    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.24e-15      0.00 7.442e-01 2.557e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.636e-04 9.193 11.611 10.933 9.844 9.095 8.471 7.684 7.154 6.987
0.00015547 -2.00000 9.69897 0.3022710085 1.9574397802    0.302 -1.611  3.6356  5.024    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.72e-15      0.00 7.442e-01 2.557e-01 2.942e-05 7.940e-06 7.201e-05 -1.000 1.637e-04 8.798 11.042 10.438 9.391 8.678 8.075 7.313 6.788 6.626
0.00015547 -2.00000 9.69897 0.3519465625 2.0465965271    0.352 -1.481  3.6435  4.992    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.23e-15      0.00 7.445e-01 2.553e-01 2.941e-05 7.941e-06 7.201e-05 -1.000 1.636e-04 8.473 10.567 10.028 9.017 8.334 7.750 7.011 6.493 6.337
0.00015547 -2.00000 9.69897 0.4016221464 2.1207315922    0.401 -1.364  3.6520  4.966    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.82e-15      0.00 7.505e-01 2.493e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 8.181 10.121 9.649 8.676 8.022 7.457 6.743 6.234 6.085
0.00015547 -2.00000 9.69897 0.4512977004 2.1838121414    0.451 -1.221  3.6653  4.926    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.88e-15      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 7.822 9.525 9.163 8.247 7.637 7.101 6.424 5.933 5.796
0.00015547 -2.00000 9.69897 0.5009732842 2.2384552956    0.501 -1.062  3.6813  4.877    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.6e-15      0.00 7.510e-01 2.488e-01 2.941e-05 7.934e-06 7.196e-05 -1.000 1.637e-04 7.426 8.856 8.626 7.776 7.216 6.713 6.081 5.613 5.492
0.00015547 -2.00000 9.69897 0.5506489277 2.2841949463    0.550 -0.889  3.6987  4.815    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.55e-15      0.00 7.650e-01 2.348e-01 2.784e-05 7.515e-06 6.816e-05 -1.000 1.636e-04 6.993 8.150 8.054 7.275 6.763 6.294 5.711 5.271 5.165
0.00015547 -2.00000 9.69897 0.6003244519 2.3213412762    0.600 -0.712  3.7202  4.762    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.31e-14      0.00 7.703e-01 2.296e-01 2.728e-05 7.363e-06 6.681e-05 -1.000 1.522e-04 6.551 7.423 7.466 6.772 6.311 5.881 5.354 4.950 4.861
0.00015547 -2.00000 9.69897 0.6266980767 2.3383338451    0.627 -0.618  3.7331  4.737    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.64e-14      0.00 7.740e-01 2.259e-01 2.689e-05 7.260e-06 6.588e-05 -1.000 1.439e-04 6.314 7.042 7.152 6.508 6.074 5.666 5.172 4.788 4.708
0.00015547 -2.00000 9.69897 0.6499999762 2.3520355225    0.650 -0.535  3.7443  4.715    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.99e-14      0.00 7.776e-01 2.222e-01 2.651e-05 7.159e-06 6.497e-05 -1.000 1.252e-04 6.108 6.727 6.887 6.284 5.873 5.484 5.015 4.648 4.577
0.00015547 -2.00000 9.69897 0.6719781160 2.3639621735    0.672 -0.458  3.7549  4.695    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1  -2.4e-14      0.00 7.820e-01 2.179e-01 2.606e-05 7.038e-06 6.388e-05 -1.000 9.999e-05 5.915 6.440 6.641 6.076 5.687 5.317 4.872 4.518 4.456
0.00015547 -2.00000 9.69897 0.6997755766 2.3778200150    0.700 -0.361  3.7678  4.668    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -3.03e-14      0.00 7.883e-01 2.116e-01 2.541e-05 6.863e-06 6.231e-05 -1.000 1.312e-04 5.673 6.101 6.342 5.823 5.461 5.112 4.694 4.356 4.306
